event_id,lens_einstein_radius,lens_max_sep,lens_flux_ratio,src_pos_x_arcsec,src_pos_y_arcsec,lens_type_flag,is_subhalo,subhalo_frac,host_halo_type,host_halo_z,host_halo_mass,host_halo_x,host_halo_y,host_halo_e,host_halo_pa,host_halo_param,central_gal_type,central_gal_z,central_gal_mass,central_gal_x,central_gal_y,central_gal_e,central_gal_pa,central_gal_param,shear_type,shear_z,shear_mass,shear_x,shear_y,shear_e,shear_pa,shear_param,subhalo_type,subhalo_z,subhalo_mass,subhalo_x,subhalo_y,subhalo_e,subhalo_pa,subhalo_param,satellite_type,satellite_z,satellite_mass,satellite_x,satellite_y,satellite_e,satellite_pa,satellite_param
0121,0.3064622,0.8925285,0.1912617,0.229484,0.232889,0,False,-1.0,0,0.407,1029133000000.0,0.0,0.0,0.1587498,-158.5189,4.225839,1,0.407,32475880000.0,0.0,0.0,0.5365584,-190.5661,0.1724487,2,0.407,5.6,0.0,0.0,0.05779398,-166.6189,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0001,0.373917,0.6473303,0.2774821,-0.1044333,0.04090575,0,False,-1.0,0,1.091,1120893000000.0,0.0,0.0,0.2043602,4.847237,4.215729,1,1.091,37375930000.0,0.0,0.0,0.3692772,68.53539,0.04718224,2,1.091,2.58,0.0,0.0,0.08715269,38.77032,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0122,0.7243477,1.483611,0.1037602,0.2061184,-0.7244195,0,False,-1.0,0,0.417,1308227000000.0,0.0,0.0,0.2376361,-90.57947,3.906665,1,0.417,60089840000.0,0.0,0.0,0.3455561,-68.50754,0.05773765,2,0.417,1.7,0.0,0.0,0.06100813,158.5308,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0027,0.7410271,1.043631,1.0,0.01600046,-0.1342408,0,False,-1.0,0,0.428,1420571000000.0,0.0,0.0,0.5368239,-121.7341,4.738065,1,0.428,38051230000.0,0.0,0.0,0.5565038,-89.30133,0.1155901,2,0.428,2.82,0.0,0.0,0.08783539,84.14152,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0123,0.3899169,1.086587,0.1638211,-0.03806259,-0.3150866,0,False,-1.0,0,0.432,1423354000000.0,0.0,0.0,0.1736259,70.53503,6.844304,1,0.432,48574760000.0,0.0,0.0,0.5566199,14.47857,0.2050569,2,0.432,3.15,0.0,0.0,0.02895852,137.032,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0031,0.372123,0.8511078,0.01752134,-0.2722297,-1.138258,0,True,0.2918998,2,0.972,10324900000000.0,-0.8294764,-3.53907,0.3872898,-158.7366,6.167291,3,0.972,76654830000.0,-0.8294764,-3.53907,0.453189,-174.192,0.2073347,4,0.972,1.81,0.0,0.0,0.05040646,-152.2633,0.0,0,0.972,733793200000.0,0.0,0.0,0.2875754,172.7758,16.28536,1,0.972,27577650000.0,0.0,0.0,0.141459,194.7753,0.0263428
0124,1.906123,3.649415,0.8149747,-0.148285,0.9556253,0,False,-1.0,0,0.55,23889570000000.0,0.0,0.0,0.5291723,-91.47244,6.729765,1,0.55,187199600000.0,0.0,0.0,0.4100631,-51.91871,0.4901025,2,0.55,3.24,0.0,0.0,0.08518364,142.2767,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0125,0.337294,0.9831576,0.1007629,-0.2392342,0.3465813,0,False,-1.0,0,0.819,1080916000000.0,0.0,0.0,0.3291874,164.9268,6.578411,1,0.819,43362020000.0,0.0,0.0,0.3958376,191.5141,0.06013432,2,0.819,2.35,0.0,0.0,0.02485561,-69.79827,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0002,0.9058222,1.650099,0.7780526,0.2436975,-0.1251243,0,False,-1.0,0,0.602,2780258000000.0,0.0,0.0,0.2048933,79.59798,5.911294,1,0.602,90506150000.0,0.0,0.0,0.3450366,104.653,0.1037243,2,0.602,2.87,0.0,0.0,0.1398418,179.3364,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0126,0.1693521,0.4247733,1.0,-0.00868413,0.02334934,0,False,-1.0,0,1.153,775037600000.0,0.0,0.0,0.4120918,34.91868,6.990631,1,1.153,26113230000.0,0.0,0.0,0.6244523,44.72584,0.1126993,2,1.153,2.23,0.0,0.0,0.04462246,-112.775,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0127,0.07992028,0.2013518,0.6850292,0.04691995,-0.01906425,0,False,-1.0,0,0.438,383715600000.0,0.0,0.0,0.3214208,167.9448,6.551134,1,0.438,8173198000.0,0.0,0.0,0.5695459,146.9193,0.1219612,2,0.438,0.81,0.0,0.0,0.05042092,-51.74099,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0128,0.4607174,1.018008,0.1629174,0.3732703,-0.1909562,0,False,-1.0,0,0.472,959117200000.0,0.0,0.0,0.2652941,-56.93368,8.479977,1,0.472,34624980000.0,0.0,0.0,0.06644854,-50.74047,0.1176778,2,0.472,1.97,0.0,0.0,0.01372152,-24.92328,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0117,0.368615,0.9403824,0.9677608,0.3788528,1.333679,0,True,0.2900357,2,1.189,20542170000000.0,2.558439,8.788363,0.4820686,-32.8498,3.081441,3,1.189,97372260000.0,2.558439,8.788363,0.3152851,0.7376175,0.1171668,4,1.189,3.44,0.0,0.0,0.07735956,-142.0411,0.0,0,1.189,707542600000.0,0.0,0.0,0.413785,176.2211,12.14812,1,1.189,32297210000.0,0.0,0.0,0.3234754,188.7903,0.1505014
0035,0.7599047,1.199915,0.886723,-0.192288,0.5691324,0,True,0.2751329,2,1.223,4268626000000.0,-1.080249,1.554425,0.2240696,98.1128,3.128589,3,1.223,80886170000.0,-1.080249,1.554425,0.3011333,145.9492,0.06548091,4,1.223,3.0,0.0,0.0,0.09401562,14.54434,0.0,0,1.223,1961298000000.0,0.0,0.0,0.1631557,-19.21538,16.06037,1,1.223,54403770000.0,0.0,0.0,0.3549595,-9.590013,0.03049239
0129,0.755478,1.346031,0.5180118,-0.1815258,-0.211539,0,False,-1.0,0,1.408,6156546000000.0,0.0,0.0,0.3634988,-144.0755,5.389732,1,1.408,90198370000.0,0.0,0.0,0.4057393,-104.6305,0.06206117,2,1.408,3.41,0.0,0.0,0.07604297,-59.15373,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0130,0.5535461,1.250038,0.1820543,-0.2216179,-0.2799172,0,False,-1.0,0,0.536,1710194000000.0,0.0,0.0,0.08037477,-23.14045,8.773445,1,0.536,37990860000.0,0.0,0.0,0.3675205,-45.52612,0.1069699,2,0.536,4.53,0.0,0.0,0.04107169,-117.8601,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0037,1.083318,2.410867,0.02354662,0.5675387,-1.488746,0,True,0.281854,2,0.739,48854640000000.0,27.86934,-64.92742,0.4381637,-145.3168,4.933477,3,0.739,180063400000.0,27.86934,-64.92742,0.6329971,-123.9988,0.1017439,4,0.739,2.03,0.0,0.0,0.03978537,-113.2361,0.0,0,0.739,8601892000000.0,0.0,0.0,0.4379356,177.6608,12.57021,1,0.739,106443300000.0,0.0,0.0,0.1866394,191.7869,0.1268521
0038,1.253575,2.465313,1.0,-2.15278,0.7617222,0,True,0.2948818,2,0.413,18801990000000.0,-27.34027,11.87464,0.172841,45.00155,5.084133,3,0.413,212454200000.0,-27.34027,11.87464,0.2908829,67.21808,0.418833,4,0.413,4.16,0.0,0.0,0.07832898,52.712,0.0,0,0.413,2463818000000.0,0.0,0.0,0.3599379,-52.93031,22.94435,1,0.413,44173440000.0,0.0,0.0,0.2109181,-77.84031,0.2613318
0131,0.4565768,0.8055595,0.1701388,0.05518449,-0.3432974,0,False,-1.0,0,0.521,491767300000.0,0.0,0.0,0.1662993,115.8469,8.035294,1,0.521,14925860000.0,0.0,0.0,0.4839409,90.68318,0.05284262,2,0.521,5.46,0.0,0.0,0.06558501,-66.68126,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0132,0.2083175,0.490524,0.1184147,0.03649075,-0.1727534,0,False,-1.0,0,1.753,1617602000000.0,0.0,0.0,0.3322633,171.0469,3.627472,1,1.753,36752110000.0,0.0,0.0,0.2642175,176.0829,0.05900411,2,1.753,3.1,0.0,0.0,0.06257851,-10.76587,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0039,0.8887291,1.527393,0.160687,-0.3719754,-0.1539186,0,False,-1.0,0,0.37,2479530000000.0,0.0,0.0,0.2464774,-86.04023,10.9521,1,0.37,60559150000.0,0.0,0.0,0.2794103,-78.14949,0.2345394,2,0.37,2.39,0.0,0.0,0.02211623,-14.08842,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
